image_name,conditional_image_captioning,unconditional_image_captioning
"['cat4_img76', 'jpeg']",a photography of a man using a cell,a man is using a cell phone
"['cat4_img99', 'jpeg']",a photography of a choir singing,a choir with a man in a red robe and a woman in a yellow robe
"['cat4_img21', 'jpeg']",a photography of two boys sitting on a couch watching a movie,two boys sitting on the floor watching tv
"['cat4_img37', 'jpeg']",a photography of a man in a tractor,a man is driving a tractor in a field
"['cat4_img60', 'jpeg']",a photography of a woman walking down a street,a woman walking down a street with a bicycle
"['cat4_img2', 'jpeg']",a photography of two elderly people walking in a park,two people walking down a path under a tree
"['cat4_img3', 'jpeg']",a photography of two chefs preparing food in a kitchen,two men in aprons preparing food in a kitchen
"['cat4_img61', 'jpeg']",a photography of a man giving a presentation to a group of people,a man giving a presentation to a group of people
"['cat4_img36', 'jpeg']",a photography of a woman reading a newspaper,a woman reading a newspaper on the stairs
"['cat4_img20', 'jpeg']",a photography of a man shaving his beard in a bathroom,a man in a sweater is shaving his face in front of a mirror
"['cat4_img77', 'jpeg']",a photography of a couple holding up a lantern at night,people holding up lanterns in the dark sky
"['cat4_img98', 'jpeg']",a photography of two little girls drawing with chalk,two children drawing on the sidewalk
"['cat4_img57', 'jpeg']",a photography of a man feeding pigeons in a park,a man sitting on the grass next to a pond
"['cat4_img41', 'jpeg']",a photography of a surfer riding a wave,a surfer is riding a wave in the ocean
"['cat4_img16', 'jpeg']",a photography of a fire at a home in the 6000 n st in the bronx area of,firefighters battle a fire at a home in the 600 block of westside avenue in the fire started
"['cat4_img82', 'jpeg']",a photography of a woman decorating a cake,a woman is decor a cake with pink icing
"['cat4_img94', 'jpeg']",a photography of a wedding ceremony in the woods,a couple sitting at a wedding ceremony under a tree
"['cat4_img70', 'jpeg']",a photography of a man in a kitchen,a man in a kitchen using a laptop
"['cat4_img27', 'jpeg']",a photography of a man grilling a bb,a man grilling on a grill in the backyard
"['cat4_img31', 'jpeg']",a photography of a woman working at a sewing studio,a woman sitting at a desk with a sewing machine
"['cat4_img66', 'jpeg']",a photography of a woman lighting a candle,a woman lighting a candle on a table
"['cat4_img89', 'jpeg']",a photography of a fighter plane,a man standing next to an airplane with a propeller
"['cat4_img4', 'jpeg']",a photography of a woman reading a book,a woman sitting at a table with a book and a cup
"['cat4_img93', 'jpeg']",a photography of a car in a parking lot,a black car driving down a street with people
"['cat4_img85', 'jpeg']",a photography of a man in a yellow vest holding a small pocket watch,a man in a vest holding a small box
"['cat4_img11', 'jpeg']",a photography of a dog carrying a stick in its mouth,a dog running through a field with a stick in its mouth
"['cat4_img8', 'jpeg']",a photography of workers installing solar panels on a roof,workers installing solar panels on the roof of a building
"['cat4_img46', 'jpeg']",a photography of a group of people in a kitchen,a group of people in a kitchen preparing food
"['cat4_img50', 'jpeg']",a photography of two boys working on a robot,two children playing with a robot
"['cat4_img51', 'jpeg']",a photography of a man working in his home office,a man sitting at a desk with a computer
"['cat4_img9', 'jpeg']",a photography of a man washing a car in a street,a man washing his car in the street
"['cat4_img47', 'jpeg']",a photography of a man making a pottery pot,a man is making a pottery pot
"['cat4_img10', 'jpeg']",a photography of a fisherman casting a net at sunset,"a fisherman casts his net at sunset on the mekong river in siauan, indonesia"
"['cat4_img84', 'jpeg']",a photography of a man working on a piece of wood,a man in a plaid shirt and hat working on a piece of wood
"['cat4_img92', 'jpeg']",a photography of a laboratory,a laboratory with people working in it
"['cat4_img5', 'jpeg']","a photography of buddhist monks in angkor temple, angkor, cambodia",a group of monks sitting on a stone wall
"['cat4_img67', 'jpeg']",a photography of a woman in a kitchen,a woman standing in a kitchen preparing food
"['cat4_img88', 'jpeg']",a photography of a scientist writing on a whiteboard,a woman in a white coat writing on a white board
"['cat4_img30', 'jpeg']",a photography of a family celebrating a birthday,a family celebrating their first birthday with balloons and cons
"['cat4_img26', 'jpeg']",a photography of a little girl and her mother in the kitchen,a young girl in a yellow apron and a little boy in a blue apron
"['cat4_img71', 'jpeg']",a photography of a man in a white shirt looking at his reflection in a mirror,a man in a white shirt is looking at his reflection in the mirror
"['cat4_img48', 'jpeg']",a photography of a group of people sitting around a table,a group of people sitting around a table
"['cat4_img6', 'jpeg']",a photography of a couple painting a wall,two people painting a wall with blue tape
"['cat4_img64', 'jpeg']",a photography of people playing on the frozen lake,a group of people are playing on the ice
"['cat4_img33', 'jpeg']",a photography of a young girl reading a book to her younger sister,a group of children sitting on the floor reading books
"['cat4_img25', 'jpeg']",a photography of two men working on a construction site,two men working on a construction site
"['cat4_img72', 'jpeg']",a photography of a choir singing in a church,the orchestra of the church
"['cat4_img52', 'jpeg']",a photography of five children sitting on a couch,a group of children sitting on a couch
"['cat4_img44', 'jpeg']",a photography of a drummer playing the drums,a man playing drums in a recording room
"['cat4_img13', 'jpeg']",a photography of a group of people dancing in a dance hall,a group of people standing on a stage
"['cat4_img87', 'jpeg']",a photography of a chef throwing a pizza dough,a man in an apron is making pizza
"['cat4_img68', 'jpeg']",a photography of two young boys picking grapes in a vineyard,two people picking grapes in a vineyard
"['cat4_img29', 'jpeg']",a photography of a group of dancers in a dance studio,a group of people in a dance class
"['cat4_img91', 'jpeg']",a photography of a woman cleaning a car in the snow,a woman cleaning her car in the snow
"['cat4_img90', 'jpeg']",a photography of a man reading a book in a library,a man sitting on a chair reading a book in a library
"['cat4_img28', 'jpeg']",a photography of a group of people enjoying a meal,a group of people sitting at a table with wine glasses
"['cat4_img86', 'jpeg']",a photography of a woman getting her teeth checked,a woman getting her teeth examined by a dentist
"['cat4_img69', 'jpeg']",a photography of a man playing a guitar,a man with a guitar and a man with a guitar
"['cat4_img12', 'jpeg']",a photography of a man working on a tire,a man working on a tire in the streets of nairobi
"['cat4_img45', 'jpeg']",a photography of two fencing fencers in a gym,two men in fencing gear practicing their moves
"['cat4_img53', 'jpeg']",a photography of a group of people picking trash on the beach,a group of people standing on a beach
"['cat4_img73', 'jpeg']",a photography of a group of people riding bikes,a group of people riding bikes down a dirt road
"['cat4_img24', 'jpeg']",a photography of a busy highway with cars and trucks,a highway with many cars on it
"['cat4_img32', 'jpeg']",a photography of a family decorating a christmas tree,a man and a little girl decorating a christmas tree
"['cat4_img65', 'jpeg']",a photography of a group of children in a lab,a group of children looking at a microscope
"['cat4_img49', 'jpeg']",a photography of two people practicing karate in a white room,two people in karate gear practicing karate
"['cat4_img7', 'jpeg']",a photography of two students studying in the library,three students studying in a library
"['cat4_img54', 'jpeg']",a photography of people walking in a cave,people walking through a cave in the woods
"['cat4_img42', 'jpeg']",a photography of people snoring in the great barrier reef,people snoring in the ocean
"['cat4_img15', 'jpeg']",a photography of a woman riding a horse,a woman riding a horse on a hill
"['cat4_img81', 'jpeg']",a photography of a man getting his hair cut,a man with a beard and a gun
"['cat4_img39', 'jpeg']",a photography of tea farmers in sri,tea picking in sri
"['cat4_img97', 'jpeg']",a photography of a couple shopping in a grocery,a woman and a man shopping in a grocery store
"['cat4_img78', 'jpeg']",a photography of a person standing in the sand,a person standing on a beach with a kite
"['cat4_img58', 'jpeg']",a photography of a group of people working in a construction site,a group of people working on a construction site
"['cat4_img19', 'jpeg']",a photography of two children playing on the beach,two children playing on the beach
"['cat4_img62', 'jpeg']",a photography of a woman working in a studio,a woman in a white shirt and brown pants is standing in a room with a large window
"['cat4_img35', 'jpeg']",a photography of a little girl reading a book,a little girl reading a book on her bed
"['cat4_img23', 'jpeg']",a photography of a father teaching his daughter how to ride a bike,father teaching his daughter to ride a bicycle
"['cat4_img74', 'jpeg']",a photography of a man ironing a shirt,a man ironing a shirt on a ironing board
"['cat4_img75', 'jpeg']",a photography of a man standing on a frozen waterfall,a person standing on a frozen waterfall
"['cat4_img22', 'jpeg']","a photography of a church in the city of kash, iran",a group of people sitting in pew pew pew pew pew pew pew pew pew pew pew pew pew
"['cat4_img34', 'jpeg']",a photography of three women sitting on a wall with a statue in the background,a group of people sitting on a bench with laptops
"['cat4_img63', 'jpeg']",a photography of a group of people rowing in a lake,a group of people rowing on a lake
"['cat4_img18', 'jpeg']",a photography of two little girls brushing their teeth,two little girls brushing their teeth
"['cat4_img1', 'jpeg']",a photography of a woman arranging flowers in a park,a woman is placing flowers in a vase
"['cat4_img59', 'jpeg']",a photography of a person walking in the snow,a person walking down a snowy path in the mountains
"['cat4_img96', 'jpeg']",a photography of a police marching in delhi,police officers march during a protest in new delhi on monday
"['cat4_img79', 'jpeg']",a photography of a man milking a cow,a man milking a cow in a barn
"['cat4_img38', 'jpeg']",a photography of a woman planting a tree,a woman kneeling down to plant a tree
"['cat4_img80', 'jpeg']",a photography of a man working in a garden,a man working in a garden
"['cat4_img14', 'jpeg']",a photography of a couple taking a picture of themselves,a woman taking a picture of a man on a bus
"['cat4_img43', 'jpeg']",a photography of a construction site with a man in a hard hat,a group of construction workers working on a building
"['cat4_img55', 'jpeg']",a photography of a cross country race,a man running in a race
"['cat3_img26', 'jpeg']",a photography of a mall with a large bird suspended from the ceiling,a large glass ceiling
"['cat3_img71', 'jpeg']",a photography of a man running in a race,a group of people are walking down the street
"['cat3_img67', 'jpeg']",a photography of a man standing in front of a fountain in the city of riga,a person standing in front of a fountain
"['cat3_img88', 'jpeg']",a photography of two skaters in a skating rink,two people skating on an ice rink
"['cat3_img30', 'jpeg']","a photography of the gardens of the alca palace in granada, spain",the gardens at the castle of the dukess in the city of heidelberg
"['cat3_img9', 'jpeg']","a photography of the city of bogota, colombia","the city of sarajevo, with the mountains in the background"
"['cat3_img92', 'jpeg']",a photography of a parking area with cars parked in it,a row of parked cars
"['cat3_img84', 'jpeg']",a photography of a man walking through a busy street in a small city,people walking through a busy street market
"['cat3_img47', 'jpeg']",a photography of a row of red bikes,a row of red bikes
"['cat3_img5', 'jpeg']",a photography of a street market in hong,a street scene with a sign that says'no one '
"['cat3_img10', 'jpeg']",a photography of a street scene at night,a group of people sitting at tables on a sidewalk
"['cat3_img51', 'jpeg']",a photography of a crowd of people walking down a street,a crowd of people walking down a street
"['cat3_img50', 'jpeg']",a photography of a group of people standing in a circle,a group of people standing in a circle
"['cat3_img4', 'jpeg']",a photography of toronto at night,a city at night with a view of the cn tower
"['cat3_img11', 'jpeg']",a photography of a street in the old town of giro,a wet street in the city
"['cat3_img46', 'jpeg']",a photography of swimmers competing in a swimming race,swimmers in the pool
"['cat3_img85', 'jpeg']",a photography of a small town on a lake,a small island in the middle of a lake
"['cat3_img93', 'jpeg']",a photography of a beach with palm trees and a blue sky,a beach with palm trees and people sitting at tables
"['cat3_img8', 'jpeg']",a photography of a city in mexico,an aerial view of a city in colombia
"['cat3_img31', 'jpeg']",a photography of wind turbines on a hill,a hill
"['cat3_img66', 'jpeg']",a photography of people walking in the rain,a group of people walking down a street holding umbrellas
"['cat3_img89', 'jpeg']",a photography of a building with a clock on top,a clock on a building with a sky background
"['cat3_img70', 'jpeg']",a photography of a man paddling in a kayak,a man in a kayak pad paddling on a lake
"['cat3_img27', 'jpeg']",a photography of a rooftop bar with a view of the city,a restaurant with a view of the city at night
"['cat3_img94', 'jpeg']",a photography of a city at night,a bridge over a river
"['cat3_img82', 'jpeg']",a photography of a man walking past a restaurant,a couple of people walking in front of a restaurant
"['cat3_img41', 'jpeg']",a photography of a ferris at night,a ferris wheel in a city at night
"['cat3_img3', 'jpeg']",a photography of a trolley car on a street,a trolley car is parked on a street
"['cat3_img16', 'jpeg']",a photography of a woman walking her dogs,a woman walking two dogs down a street
"['cat3_img57', 'jpeg']",a photography of a window display of vintage items,a window display with various items in it
"['cat3_img20', 'jpeg']",a photography of a palm tree lined sidewalk,a row of palm trees
"['cat3_img77', 'jpeg']",a photography of two women pushing a bicycle with baskets of flowers,two people with baskets of flowers on their bikes
"['cat3_img98', 'jpeg']",a photography of a canal in amsterdam,a canal with boats and buildings in the background
"['cat3_img61', 'jpeg']",a photography of a fire hydra on a city street,a red fire hydrant with a chain around it
"['cat3_img36', 'jpeg']",a photography of surfers on the beach in surfers paradise,a view of the beach and buildings in surfers paradise
"['cat3_img37', 'jpeg']",a photography of a city,a black and white photo of buildings in the city
"['cat3_img60', 'jpeg']",a photography of a parking area with a car parked in the parking,a parking with a car parked in it
"['cat3_img76', 'jpeg']",a photography of a person on a motorcycle on a bridge,a person riding a bike on a bridge
"['cat3_img99', 'jpeg']",a photography of a train track in the city,a train track with a train track in the middle
"['cat3_img21', 'jpeg']",a photography of the toronto skyline at night,the city skyline of toronto at night
"['cat3_img56', 'jpeg']","a photography of a building in the city of johannesburg, south africa",a tall building with a coca sign on top
"['cat3_img2', 'jpeg']",a photography of traffic on a busy street,a large group of vehicles
"['cat3_img17', 'jpeg']",a photography of a man playing guitar on the street,two men playing guitar on the street
"['cat3_img40', 'jpeg']",a photography of a water taxi boat in the water,a boat with a yellow taxi sign on it
"['cat3_img83', 'jpeg']",a photography of a woman riding a bike,a woman riding a bike down a street
"['cat3_img95', 'jpeg']","a photography of the city of sarajevo, bosnia","aerial view of the city of cer, croatia"
"['cat3_img55', 'jpeg']",a photography of a concert hall with a stage and a large screen,a large auditorium with a stage and a large screen
"['cat3_img14', 'jpeg']",a photography of a street in a city,a street with a lot of people walking down it
"['cat3_img1', 'jpeg']",a photography of a bridge over a river,a bridge over a river with a train going over it
"['cat3_img43', 'jpeg']",a photography of a library with a round window,a large circular ceiling
"['cat3_img38', 'jpeg']",a photography of a busy grand central station,a large building with a lot of people inside
"['cat3_img80', 'jpeg']",a photography of the ferry at the port of auckland,a large boat is docked at the dock
"['cat3_img96', 'jpeg']",a photography of a basketball game,a group of girls playing a game of basketball
"['cat3_img79', 'jpeg']",a photography of a man walking down an escalator,a man is walking down an escalator
"['cat3_img59', 'jpeg']",a photography of a gas station at sunset,a gas station at sunset
"['cat3_img18', 'jpeg']",a photography of a train on the tracks,a train on the tracks
"['cat3_img34', 'jpeg']",a photography of a man sitting on a stage,a man standing on top of a large stone structure
"['cat3_img63', 'jpeg']",a photography of a manhole on the cobbles,a manhole with a shield on it
"['cat3_img75', 'jpeg']",a photography of a wall covered with posters,a wall covered with posters and posters
"['cat3_img22', 'jpeg']",a photography of a street in hong at night,a street filled with neon signs and neon signs
"['cat3_img23', 'jpeg']",a photography of a busy street with a bus and a bus stop,a red double decker bus
"['cat3_img74', 'jpeg']",a photography of a skateboarder at a skate park,a man sitting on a skateboard
"['cat3_img62', 'jpeg']",a photography of a police officer directing a traffic officer,a police officer directing traffic
"['cat3_img35', 'jpeg']",a photography of a parking lot with buses and buses,a parking filled with lots of white buses
"['cat3_img19', 'jpeg']","a photography of the city of bern, switzerland","the city of bern, switzerland"
"['cat3_img58', 'jpeg']",a photography of a group of people marching down a street holding signs,a group of people walking down a street holding signs
"['cat3_img97', 'jpeg']",a photography of people on a subway train,people on a subway train
"['cat3_img78', 'jpeg']",a photography of a street market with a lot of fruit,a man pushing a cart of fruit down a street
"['cat3_img81', 'jpeg']",a photography of a man juggling in a crowd,a man jugs for a ball while a crowd watches
"['cat3_img39', 'jpeg']",a photography of a narrow street in the city of london,"a narrow alley in the city of new york, new york, new york, united"
"['cat3_img42', 'jpeg']",a photography of the opening ceremony of the fifa world cup at the mara do sul stadium in mara,a soccer stadium with a large crowd watching
"['cat3_img15', 'jpeg']",a photography of a marina with boats docked in the harbor,a harbor with boats docked in it
"['cat3_img54', 'jpeg']",a photography of a garbage truck with a pile of junk,a pile of trash on the sidewalk
"['cat3_img49', 'jpeg']",a photography of a fire station with fire trucks,a fire station with fire trucks parked in front
"['cat3_img32', 'jpeg']",a photography of a modern building,a large white staircase
"['cat3_img65', 'jpeg']",a photography of a construction worker walking under a bridge,a man walking across a bridge over water
"['cat3_img73', 'jpeg']",a photography of a group of people playing volleyball,a group of people playing volleyball on the beach
"['cat3_img24', 'jpeg']",a photography of a street scene with a street sign,a street with a street sign and a street sign
"['cat3_img53', 'jpeg']",a photography of a man standing in a cemetery,a man standing in a cemetery with a tower in the background
"['cat3_img12', 'jpeg']",a photography of people on a subway platform,a group of people are walking on a subway platform
"['cat3_img7', 'jpeg']",a photography of a harbor with many boats,a row of colorful buildings along a river
"['cat3_img45', 'jpeg']",a photography of a market with people shopping,a group of people standing around a market
"['cat3_img86', 'jpeg']",a photography of a man walking past a store,a man walking past a store with a large display of magazines
"['cat3_img69', 'jpeg']",a photography of a street corner with a stop sign,a street with a stop sign and a train crossing
"['cat3_img90', 'jpeg']",a photography of a market with people shopping,a group of people standing around a market
"['cat3_img28', 'jpeg']",a photography of a street at night,a street with a stone wall and a street light
"['cat3_img29', 'jpeg']",a photography of a skate park with palm trees,a man riding a skateboard on a ramp
"['cat3_img91', 'jpeg']",a photography of a roundabout intersection,a roundabout intersection with a red stop sign
"['cat3_img87', 'jpeg']","a photography of the skyline of downtown, chicago","the skyline of dubai, with the reflection of the buildings in the water"
"['cat3_img68', 'jpeg']",a photography of a train passing under a bridge,a train is coming under a bridge on a rainy day
"['cat3_img44', 'jpeg']",a photography of a person riding a bike along a river,a person riding a bike on a trail next to a lake
"['cat3_img13', 'jpeg']",a photography of a narrow alley in the old city of jerusalem,a narrow alley in the old city of jerusalem
"['cat3_img6', 'jpeg']",a photography of a crosswalk in a city,a crosswalk in a city at night
"['cat3_img52', 'jpeg']",a photography of a crowded room with people,a crowded room with people
"['cat3_img25', 'jpeg']",a photography of a man painting a mural on a wall in the city of lisbon,a man painting a mural on the side of a building
"['cat3_img72', 'jpeg']",a photography of a bus stop in the middle of a street,a group of people standing on the sidewalk
"['cat3_img100', 'jpeg']",a photography of people celebrating holi holi holi holi holi holi holi,people celebrating holi holi holi holi holi holi holi holi ho
"['cat3_img64', 'jpeg']",a photography of a phone booth on a sidewalk,a phone booth with graffiti on it
"['cat3_img33', 'jpeg']",a photography of a coin - operated coin - operated binoculars overlooking the empire state,a coin coin on top of a building with a view of the city
"['cat3_img48', 'jpeg']",a photography of a white mustang mustang mustang mustang mustang mustang mustang mustang mustang mustang mustang mustang mustang mustang,a white car is driving through a tunnel
